ID,Name,Mann-Whitney U,p-value,p-value CI low,p-value CI high,q-value (BY),Cliff's delta,delta CI low,delta CI high,Cliff's interpretation,Dominance,kernel mean %,application mean %
CWE-685,Function Call With Incorrect Number of Arguments,306.000000,0.000655519248045,1.72825887805e-10,1,0.0376556346169,0.267081,-0.028986,0.572516,small,kernel,0.290569,0.131752
CWE-788,Access of Memory Location After End of Buffer,306.000000,0.000655519248045,1.72825887805e-10,1,0.0376556346169,0.267081,-0.014493,0.571429,small,kernel,0.121450,0.013175
CWE-676,Use of Potentially Dangerous Function,395.500000,0.00285254040952,1.43001263469e-05,0.311728391258,0.0967536777613,0.637681,0.221325,0.908903,large,kernel,63.283654,19.299883
CWE-126,Buffer Over-read,363.000000,0.00354592329306,7.80277279275e-07,0.513320843932,0.0967536777613,0.503106,0.113820,0.826087,large,kernel,1.450084,0.975065
CWE-377,Insecure Temporary File,301.500000,0.0057464388826,1.79790824828e-10,0.784845948983,0.0967536777613,0.248447,-0.043478,0.590683,small,kernel,0.045618,0.093703
CWE-467,Use of sizeof() on a Pointer Type,301.500000,0.0057464388826,1.00613542825e-08,0.784845948983,0.0967536777613,0.248447,-0.029348,0.615528,small,kernel,0.177549,1.463625
CWE-120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),390.500000,0.00589509765482,4.23865029064e-05,0.515198700583,0.0967536777613,0.616977,0.146946,0.913043,large,kernel,71.133533,29.228416
CWE-468,Incorrect Pointer Scaling,350.000000,0.00924988135633,3.23370755189e-06,0.637659134928,0.132837500059,0.449275,0.076553,0.763975,medium,kernel,1.336827,1.879194
CWE-457,Use of Uninitialized Variable,347.000000,0.0148949273479,8.84446944929e-06,0.6485279056,0.190138646587,0.436853,0.068271,0.759834,medium,kernel,1.895039,2.165723
CWE-476,NULL Pointer Dereference,336.000000,0.0321475130553,4.18207730237e-05,0.794142572048,0.369336219818,0.391304,0.033126,0.706004,medium,kernel,0.855767,1.516694
CWE-078,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),310.000000,0.0375972918941,1.17687547128e-06,0.948944504063,0.373245573073,0.283644,-0.039337,0.664596,small,kernel,0.182844,0.626127
CWE-119,Improper Restriction of Operations within the Bounds of a Memory Buffer,337.000000,0.0436247404774,9.16945552352e-05,0.778072167813,0.373245573073,0.395445,0.014441,0.743271,medium,kernel,4.668282,3.884359
CWE-129,Improper Validation of Array Index,272.000000,0.051980461333,4.12713922396e-08,1,0.373245573073,0.126294,-0.028986,0.428571,negligible,kernel,0.073752,0.024155
CWE-595,Comparison of Object References Instead of Object Contents,272.000000,0.051980461333,4.12713922396e-08,1,0.373245573073,0.126294,-0.043478,0.428571,negligible,kernel,0.007375,0.023375
CWE-628,Function Call with Incorrectly Specified Arguments,272.000000,0.051980461333,4.12713922396e-08,1,0.373245573073,0.126294,-0.028986,0.428571,negligible,kernel,0.051626,0.207039
CWE-682,Incorrect Calculation,272.000000,0.051980461333,4.12713922396e-08,1,0.373245573073,0.126294,-0.043478,0.428571,negligible,kernel,0.020555,0.013175
CWE-020,Improper Input Validation,165.000000,0.146644007883,0.0151092151526,0.797596660411,0.955080388299,-0.316770,-0.536232,-0.055901,small,application,0.104654,9.327587
CWE-367,Time-of-check Time-of-use (TOCTOU) Race Condition,269.000000,0.150560402217,3.83160313336e-06,1,0.955080388299,0.113872,-0.057971,0.420290,negligible,kernel,0.059773,0.036537
CWE-327,Use of a Broken or Risky Cryptographic Algorithm,268.000000,0.166262920365,5.36820394932e-06,1,0.955080388299,0.109731,-0.057971,0.407867,negligible,kernel,0.014750,0.029515
CWE-570,Expression is Always False,268.000000,0.166262920365,5.36820394932e-06,1,0.955080388299,0.109731,-0.057971,0.407867,negligible,kernel,0.007375,0.039452
CWE-362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),177.000000,0.233652079999,0.0229599931429,0.891807598846,1,-0.267081,-0.515528,-0.014493,small,application,1.352775,22.249201
CWE-114,Process Control,279.000000,0.236257453095,0.00010117736074,0.975596943929,1,0.155280,-0.130435,0.503106,small,kernel,0.157781,0.595385
CWE-664,Improper Control of a Resource Through its Lifetime,266.000000,0.265258781643,9.16809140441e-06,0.784845948983,1,0.101449,-0.086957,0.407971,negligible,kernel,0.179319,0.197555
CWE-686,Function Call With Incorrect Argument Type,295.500000,0.301398096647,0.015429270541,0.944199992064,1,0.223602,-0.118064,0.503106,small,kernel,10.534112,13.734284
CWE-398,7PK - Code Quality,274.500000,0.320347499761,0.000429029828186,0.975604194338,1,0.136646,-0.144928,0.480331,negligible,kernel,0.017653,2.389633
CWE-732,Incorrect Permission Assignment for Critical Resource,188.000000,0.320373583666,0.0360800102229,0.954743074185,1,-0.221532,-0.474120,0.041460,small,application,0.950869,19.209308
CWE-190,Integer Overflow or Wraparound,270.000000,0.508323290926,0.00934254514593,0.980353105557,1,0.118012,-0.188458,0.449275,negligible,kernel,0.342740,0.946373
CWE-022,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),215.000000,0.522048009657,0.0861286361641,0.955449634706,1,-0.109731,-0.304348,0.188406,negligible,application,0.154879,2.896096
CWE-134,Use of Externally-Controlled Format String,254.000000,0.818725834485,0.0653607552365,0.984758154696,1,0.051760,-0.302433,0.381004,negligible,kernel,7.777118,13.343693
