CWE ID,CWE Name,CWE Root,Mann-Whitney U,p-value,Cliff's delta,Cliff's interpretation,Dominance,kernel mean %,application mean %
CWE-416,Use After Free,CWE-664 Improper Control of a Resource Through its Lifetime,345.000000,4.15801833409e-08,0.428571,medium,kernel,0.044413,0.000000
CWE-676,Use of Potentially Dangerous Function,CWE-710 Improper Adherence to Coding Standards,406.000000,0.00143602441516,0.681159,large,kernel,65.306174,18.170502
CWE-131,Incorrect Calculation of Buffer Size,CWE-682 Incorrect Calculation,276.000000,0.00197406187064,0.142857,negligible,kernel,0.009386,0.000000
CWE-252,Unchecked Return Value,CWE-703 Improper Check or Handling of Exceptional Conditions,276.000000,0.00197406187064,0.142857,negligible,kernel,0.010139,0.000000
CWE-401,Missing Release of Memory after Effective Lifetime,CWE-664 Improper Control of a Resource Through its Lifetime,276.000000,0.00197406187064,0.142857,negligible,kernel,0.024888,0.000000
CWE-807,Reliance on Untrusted Inputs in a Security Decision,CWE-693 Protection Mechanism Failure,276.000000,0.00197406187064,0.142857,negligible,kernel,0.037545,0.000000
CWE-120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),CWE-664 Improper Control of a Resource Through its Lifetime,404.500000,0.00258659201893,0.674948,large,kernel,72.459064,26.276300
CWE-788,Access of Memory Location After End of Buffer,CWE-664 Improper Control of a Resource Through its Lifetime,302.500000,0.0049799440043,0.252588,small,kernel,0.129329,0.020914
CWE-377,Insecure Temporary File,CWE-664 Improper Control of a Resource Through its Lifetime,301.500000,0.0057464388826,0.248447,small,kernel,0.045166,0.076796
CWE-682,Incorrect Calculation,CWE-682 Incorrect Calculation,301.500000,0.0057464388826,0.248447,small,kernel,0.070054,0.054703
CWE-468,Incorrect Pointer Scaling,CWE-682 Incorrect Calculation,351.000000,0.00861978636562,0.453416,medium,kernel,1.432234,1.563092
CWE-126,Buffer Over-read,CWE-664 Improper Control of a Resource Through its Lifetime,355.000000,0.00878082378518,0.469979,medium,kernel,1.561655,1.111838
CWE-457,Use of Uninitialized Variable,CWE-664 Improper Control of a Resource Through its Lifetime,342.000000,0.0226473670533,0.416149,medium,kernel,1.904475,2.246658
CWE-078,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),CWE-707 Improper Neutralization,311.000000,0.0348724145766,0.287785,small,kernel,0.222750,0.576889
